,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoef,Symbol
2023-01-10,11.7,12.0,11.7,12.0,11.9561,20,0.0000,1.0,MSF0.FRK
2023-01-11,11.7,11.7,11.7,11.7,11.6572,0,0.0000,1.0,MSF0.FRK
2023-01-12,12.4,12.4,12.4,12.4,12.3546,2,0.0000,1.0,MSF0.FRK
2023-01-13,12.2,12.6,12.2,12.6,12.5539,2,0.0000,1.0,MSF0.FRK
2023-01-16,12.2,12.2,12.2,12.2,12.1554,0,0.0000,1.0,MSF0.FRK
2023-01-17,12.3,12.3,12.3,12.3,12.255,4000,0.0000,1.0,MSF0.FRK
2023-01-18,12.3,12.3,12.3,12.3,12.255,0,0.0000,1.0,MSF0.FRK
2023-01-19,11.9,11.9,11.9,11.9,11.8565,0,0.0000,1.0,MSF0.FRK
2023-01-20,11.8,12.5,11.8,12.5,12.4543,2,0.0000,1.0,MSF0.FRK
2023-01-23,12.6,12.7,12.6,12.6,12.5539,419,0.0000,1.0,MSF0.FRK
2023-01-24,12.3,12.7,12.3,12.7,12.6535,900,0.0000,1.0,MSF0.FRK
2023-01-25,12.3,12.3,12.1,12.1,12.0557,4,0.0000,1.0,MSF0.FRK
2023-01-26,12.1,12.1,12.1,12.1,12.0557,0,0.0000,1.0,MSF0.FRK
2023-01-27,12.5,12.5,12.5,12.5,12.4543,0,0.0000,1.0,MSF0.FRK
2023-01-30,13.1,13.1,12.5,12.5,12.4543,1100,0.0000,1.0,MSF0.FRK
2023-01-31,12.3,13.0,12.3,13.0,12.9524,800,0.0000,1.0,MSF0.FRK
2023-02-01,12.6,13.1,12.6,12.9,12.8528,1253,0.0000,1.0,MSF0.FRK
2023-02-02,12.7,13.4,12.7,13.4,13.351,880,0.0000,1.0,MSF0.FRK
2023-02-03,13.3,13.3,13.3,13.3,13.2513,0,0.0000,1.0,MSF0.FRK
2023-02-06,13.6,13.6,13.5,13.5,13.4506,62,0.0000,1.0,MSF0.FRK
2023-02-07,13.7,13.7,13.7,13.7,13.6499,40,0.0000,1.0,MSF0.FRK
2023-02-08,13.7,14.1,13.7,14.1,14.0484,2,0.0000,1.0,MSF0.FRK
2023-02-09,13.6,13.6,13.6,13.6,13.5502,0,0.0000,1.0,MSF0.FRK
2023-02-10,13.6,13.6,13.6,13.6,13.5502,0,0.0000,1.0,MSF0.FRK
2023-02-13,13.6,14.4,13.6,14.4,14.3473,1,0.0000,1.0,MSF0.FRK
2023-02-14,13.9,13.9,13.9,13.9,13.8492,30,0.0000,1.0,MSF0.FRK
2023-02-15,14.0,14.4,14.0,14.4,14.4,2730,0.0508,1.0,MSF0.FRK
2023-02-16,14.5,14.5,14.3,14.3,14.3,60,0.0000,1.0,MSF0.FRK
2023-02-17,13.4,13.4,13.4,13.4,13.4,60,0.0000,1.0,MSF0.FRK
