,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoef,Symbol
2022-12-23,79.11,80.45,78.48,80.33,80.33,20274,0.0000,1.0,AMZ.FRK
2022-12-27,80.05,81.38,78.05,78.05,78.05,14076,0.0000,1.0,AMZ.FRK
2022-12-28,78.06,78.36,77.0,77.2,77.2,13568,0.0000,1.0,AMZ.FRK
2022-12-29,77.12,79.18,77.12,79.18,79.18,9073,0.0000,1.0,AMZ.FRK
2022-12-30,78.9,78.98,78.04,78.13,78.13,9283,0.0000,1.0,AMZ.FRK
2023-01-02,79.17,80.9,79.0,80.54,80.54,11615,0.0000,1.0,AMZ.FRK
2023-01-03,79.5,81.94,79.22,81.56,81.56,14596,0.0000,1.0,AMZ.FRK
2023-01-04,81.81,81.93,78.83,80.4,80.4,10414,0.0000,1.0,AMZ.FRK
2023-01-05,81.6,82.68,79.0,79.0,79.0,16170,0.0000,1.0,AMZ.FRK
2023-01-06,79.6,80.35,77.89,80.26,80.26,17298,0.0000,1.0,AMZ.FRK
2023-01-09,81.3,83.6,80.78,81.3,81.3,15210,0.0000,1.0,AMZ.FRK
2023-01-10,81.33,83.84,80.98,83.41,83.41,15936,0.0000,1.0,AMZ.FRK
2023-01-11,83.6,88.55,83.6,88.44,88.44,19503,0.0000,1.0,AMZ.FRK
2023-01-12,89.15,89.58,86.82,87.75,87.75,20921,0.0000,1.0,AMZ.FRK
2023-01-13,88.19,90.69,86.24,90.64,90.64,23390,0.0000,1.0,AMZ.FRK
2023-01-16,91.2,91.35,90.09,91.18,91.18,17092,0.0000,1.0,AMZ.FRK
2023-01-17,90.69,91.03,88.83,88.89,88.89,10760,0.0000,1.0,AMZ.FRK
2023-01-18,88.99,91.25,88.53,88.75,88.75,9976,0.0000,1.0,AMZ.FRK
2023-01-19,89.3,89.3,85.6,86.49,86.49,14321,0.0000,1.0,AMZ.FRK
2023-01-20,87.5,89.99,86.39,89.99,89.99,8653,0.0000,1.0,AMZ.FRK
2023-01-23,89.48,90.39,88.7,89.4,89.4,10401,0.0000,1.0,AMZ.FRK
2023-01-24,89.9,90.18,88.79,88.79,88.79,8990,0.0000,1.0,AMZ.FRK
2023-01-25,86.9,88.7,83.98,88.7,88.7,23213,0.0000,1.0,AMZ.FRK
2023-01-26,89.47,91.2,89.11,90.59,90.59,10151,0.0000,1.0,AMZ.FRK
2023-01-27,90.84,95.0,90.5,94.44,94.44,16530,0.0000,1.0,AMZ.FRK
2023-01-30,94.2,94.2,91.22,92.69,92.69,12756,0.0000,1.0,AMZ.FRK
2023-01-31,93.4,95.1,91.7,94.31,94.31,12711,0.0000,1.0,AMZ.FRK
2023-02-01,94.4,96.22,92.96,95.65,95.65,15277,0.0000,1.0,AMZ.FRK
2023-02-02,98.5,104.16,98.25,102.86,102.86,36438,0.0000,1.0,AMZ.FRK
2023-02-03,98.49,99.97,95.11,95.11,95.11,36676,0.0000,1.0,AMZ.FRK
2023-02-06,95.0,96.43,93.88,95.02,95.02,17278,0.0000,1.0,AMZ.FRK
2023-02-07,95.35,95.93,92.0,95.34,95.34,17609,0.0000,1.0,AMZ.FRK
2023-02-08,95.2,95.47,92.2,93.78,93.78,12124,0.0000,1.0,AMZ.FRK
2023-02-09,94.4,94.42,90.91,91.84,91.84,9648,0.0000,1.0,AMZ.FRK
2023-02-10,91.7,92.05,90.1,91.5,91.5,13853,0.0000,1.0,AMZ.FRK
2023-02-13,91.7,92.89,90.9,92.76,92.76,6944,0.0000,1.0,AMZ.FRK
2023-02-14,93.0,93.0,91.23,92.79,92.79,12015,0.0000,1.0,AMZ.FRK
2023-02-15,93.0,94.5,92.2,94.3,94.3,7107,0.0000,1.0,AMZ.FRK
2023-02-16,94.0,94.51,92.4,92.7,92.7,7652,0.0000,1.0,AMZ.FRK
2023-02-17,92.4,92.4,89.8,90.01,90.01,10336,0.0000,1.0,AMZ.FRK
