,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoef,Symbol
2022-12-01,143.32,143.32,141.8,141.8,141.8,445,0.0000,1.0,IBM.FRK
2022-12-02,141.08,141.76,141.08,141.36,141.36,198,0.0000,1.0,IBM.FRK
2022-12-05,140.88,141.06,139.64,139.64,139.64,712,0.0000,1.0,IBM.FRK
2022-12-06,140.4,141.06,139.92,140.58,140.58,859,0.0000,1.0,IBM.FRK
2022-12-07,140.9,140.9,139.32,139.74,139.74,711,0.0000,1.0,IBM.FRK
2022-12-08,140.02,141.02,140.02,141.02,141.02,327,0.0000,1.0,IBM.FRK
2022-12-09,139.82,140.46,139.82,140.46,140.46,233,0.0000,1.0,IBM.FRK
2022-12-12,139.74,140.44,139.02,140.44,140.44,298,0.0000,1.0,IBM.FRK
2022-12-13,140.8,143.34,140.8,142.84,142.84,271,0.0000,1.0,IBM.FRK
2022-12-14,141.4,142.24,140.0,140.0,140.0,1089,0.0000,1.0,IBM.FRK
2022-12-15,140.32,140.48,133.4,133.4,133.4,2199,0.0000,1.0,IBM.FRK
2022-12-16,133.38,134.04,131.0,131.34,131.34,629,0.0000,1.0,IBM.FRK
2022-12-19,131.62,132.18,129.86,129.86,129.86,255,0.0000,1.0,IBM.FRK
2022-12-20,130.9,131.12,130.18,131.12,131.12,516,0.0000,1.0,IBM.FRK
2022-12-21,133.42,134.26,133.38,134.26,134.26,573,0.0000,1.0,IBM.FRK
2022-12-22,133.9,133.9,131.4,131.4,131.4,439,0.0000,1.0,IBM.FRK
2022-12-23,132.5,132.5,132.48,132.48,132.48,181,0.0000,1.0,IBM.FRK
2022-12-27,133.7,133.88,133.04,133.86,133.86,296,0.0000,1.0,IBM.FRK
2022-12-28,133.66,133.9,133.66,133.9,133.9,376,0.0000,1.0,IBM.FRK
2022-12-29,131.52,133.44,131.5,133.44,133.44,338,0.0000,1.0,IBM.FRK
2022-12-30,132.04,132.24,131.54,131.8,131.8,419,0.0000,1.0,IBM.FRK
2023-01-02,131.68,133.38,131.68,133.38,133.38,486,0.0000,1.0,IBM.FRK
2023-01-03,132.52,134.74,132.52,133.26,133.26,296,0.0000,1.0,IBM.FRK
2023-01-04,134.24,134.28,133.2,134.28,134.28,365,0.0000,1.0,IBM.FRK
2023-01-05,134.6,134.8,134.16,134.24,134.24,207,0.0000,1.0,IBM.FRK
2023-01-06,134.14,134.62,134.14,134.62,134.62,550,0.0000,1.0,IBM.FRK
2023-01-09,135.3,135.3,134.04,134.88,134.88,885,0.0000,1.0,IBM.FRK
2023-01-10,133.84,134.1,133.34,133.34,133.34,2077,0.0000,1.0,IBM.FRK
2023-01-11,134.98,134.98,133.96,133.96,133.96,531,0.0000,1.0,IBM.FRK
2023-01-12,134.68,136.34,134.18,134.88,134.88,1058,0.0000,1.0,IBM.FRK
2023-01-13,134.22,134.46,134.0,134.0,134.0,180,0.0000,1.0,IBM.FRK
2023-01-16,134.88,135.86,134.5,135.86,135.86,805,0.0000,1.0,IBM.FRK
2023-01-17,134.74,135.4,134.62,135.4,135.4,1261,0.0000,1.0,IBM.FRK
2023-01-18,133.02,133.02,130.0,130.0,130.0,1626,0.0000,1.0,IBM.FRK
2023-01-19,129.62,130.98,129.0,130.86,130.86,509,0.0000,1.0,IBM.FRK
2023-01-20,130.3,130.6,129.66,130.46,130.46,1526,0.0000,1.0,IBM.FRK
2023-01-23,129.88,130.48,129.64,130.48,130.48,171,0.0000,1.0,IBM.FRK
2023-01-24,130.12,130.58,130.06,130.3,130.3,2034,0.0000,1.0,IBM.FRK
2023-01-25,129.52,130.1,128.08,128.46,128.46,1688,0.0000,1.0,IBM.FRK
2023-01-26,127.3,127.38,122.72,123.52,123.52,2564,0.0000,1.0,IBM.FRK
2023-01-27,123.48,124.2,123.36,124.2,124.2,1381,0.0000,1.0,IBM.FRK
2023-01-30,123.78,124.66,122.78,124.46,124.46,2091,0.0000,1.0,IBM.FRK
2023-01-31,124.64,124.96,123.82,123.82,123.82,873,0.0000,1.0,IBM.FRK
2023-02-01,123.42,123.98,121.98,122.4,122.4,1197,0.0000,1.0,IBM.FRK
2023-02-02,122.68,124.84,122.68,124.78,124.78,1434,0.0000,1.0,IBM.FRK
2023-02-03,124.72,126.16,124.64,126.16,124.5196,368,0.0000,1.0,IBM.FRK
2023-02-06,126.8,126.86,125.76,126.66,125.0131,789,0.0000,1.0,IBM.FRK
2023-02-07,126.66,127.5,126.0,126.0,124.3617,317,0.0000,1.0,IBM.FRK
2023-02-08,126.44,127.04,126.28,126.9,125.25,223,0.0000,1.0,IBM.FRK
2023-02-09,125.48,125.6,124.5,124.54,124.54,525,0.0000,1.0,IBM.FRK
2023-02-10,124.5,125.12,124.5,125.12,125.12,350,0.0000,1.0,IBM.FRK
2023-02-13,126.96,127.94,126.58,127.94,127.94,695,0.0000,1.0,IBM.FRK
2023-02-14,127.54,128.08,126.16,126.98,126.98,572,0.0000,1.0,IBM.FRK
2023-02-15,126.86,126.96,126.4,126.76,126.76,641,0.0000,1.0,IBM.FRK
2023-02-16,127.34,127.6,126.42,126.42,126.42,2078,0.0000,1.0,IBM.FRK
2023-02-17,126.4,126.8,126.02,126.5,126.5,235,0.0000,1.0,IBM.FRK
